sim_id,TSI,Stability_Label,Instability_Time,Max_Angle_Separation,Post_Fault_Samples
sim_0000,0.4111361802937827,0,,75.113578,451
sim_0001,0.4650338717662445,0,,65.728107,451
sim_0002,0.45597907919838643,0,,67.2563,451
sim_0003,0.44470544029196146,0,,69.185744,451
sim_0004,0.42673351272499266,0,,72.324626,451
sim_0005,0.404463188167407,0,,76.325693,451
sim_0006,0.3808195700366433,0,,80.714729,451
sim_0007,0.3260960951336034,0,,91.473539,451
sim_0008,0.4767961118386884,0,,63.770956,451
sim_0009,0.4725087464054067,0,,64.480721,451
sim_0010,0.4682124240893903,0,,65.196127,451
sim_0011,0.4641478031828752,0,,65.87681599999999,451
sim_0012,0.4601921325675339,0,,66.54289800000001,451
sim_0013,0.45646169913540546,0,,67.174368,451
sim_0014,0.4496137397482763,0,,68.342017,451
sim_0016,0.4214027417769146,0,,73.27093400000001,451
sim_0017,0.34488263750911297,0,,87.68135,451
sim_0018,0.25274593208688917,0,,107.368724,451
sim_0019,-0.14029652424225053,1,1.72,238.749034,54
sim_0020,-0.3288327517476477,1,1.5,356.37897399999997,168
sim_0021,-0.32898087714419366,1,1.42,356.497378,85
sim_0022,-0.3237488190846349,1,1.4,352.34657500000003,162
sim_0029,0.4817727077479396,0,,62.952241,22
sim_0030,0.41956934225177245,0,,73.598038,451
sim_0031,0.43387070744814815,0,,71.068662,451
sim_0032,0.37469077810648377,0,,81.87707499999999,451
sim_0033,0.30790128488621865,0,,95.250131,451
sim_0034,0.23269231506738994,0,,112.04368,160
sim_0035,-0.1874873760082884,1,1.82,263.070039,89
sim_0036,-0.331903800471912,1,1.64,358.844556,120
sim_0037,-0.32237555119243216,1,1.56,351.26772600000004,207
sim_0040,0.4555851128285883,0,,67.323222,451
sim_0044,0.4817727077479396,0,,62.952241,21
sim_0045,0.4089753160087999,0,,75.504831,451
sim_0046,0.44865495425648644,0,,68.506381,451
sim_0047,0.4053464829834051,0,,76.164586,451
sim_0048,0.3328674764041452,0,,90.094369,451
sim_0049,-0.32641092829712437,1,1.88,354.450476,63
sim_0050,-0.329919210909289,1,1.56,357.248651,99
sim_0051,-0.3223209993747282,1,1.48,351.22496,147
sim_0052,-0.3184848794369935,1,1.46,348.23479499999996,114
sim_0055,0.45715328793181,0,,67.05705499999999,451
sim_0059,0.4817727077479396,0,,62.952241,22
